Station_Number,Latitude,Longitude,Station_Name,Area
02T,13.733,100.488,Bansomdejchaopraya Rajabhat University,"Hiran Ruchi, Khet Thon Buri, Bangkok"
05T,13.666,100.606,Thai Meteorological Department,"Bang Na, Khet Bang Na, Bangkok"
10T,13.78,100.646,National Housing Authority Klongcha,"Khlong Chan, Khet Bang Kapi, Bangkok"
11T,13.776,100.569,National Housing Huaykwang,"Din Daeng, Khet Din Daeng, Bangkok"
12T,13.708,100.547,Nonsi Witthaya School,"Chong Nonsi, Khet Yannawa, Bangkok"
59T,13.783,100.541,The Government Public Relations Department,"Phaya Thai, Khet Phaya Thai, Bangkok"
61T,13.77,100.615,Bodindecha Sing Singhaseni School,"Pubpla, Khet Wang Thonglang, Bangkok"
03T,13.637,100.414,Highway NO.3902 km.13 +600,"Kanchanaphisek Rd, Bang Khun Thian, Bangkok"
50T,13.73,100.537,Chulalongkorn Hospital,"Rama IV Rd. Khet Pathum Wan, Bangkok"
52T,13.728,100.487,Thonburi Power Sub-Station,"Intarapitak Rd. Khet Thon Buri, Bangkok"
53T,13.795,100.593,Chokchai Police Station,"Lat Phrao Rd. Khet Wang Thonglang, Bangkok"
54T,13.763,100.55,National Housing Authority Dindaeng,"Din Daeng Rd. Khet Din Daeng, Bangkok"
08T,13.664,100.543,Prabadang Rehabiltation Center,"Song Kanong, Phra Pradaeng, Samut Prakan"
16T,13.618,100.556,South Bangkok Power Plant,"Bang Prong, Meuang, Samut Prakan"
17T,13.652,100.531,Residence for Dept. of Mineral Resources,"Talat, Phra Pradaeng, Samut Prakan"
18T,13.6,100.597,"City Hall, Samut Prakan","Pak Nam, Meuang, Samut Prakan"
19T,13.571,100.786,National Housing Authority Bangplee,"Bang Sao Thong, Bang Sao Thong, Samut Prakan"
13T,13.853,100.529,Department of Disease Control,"Talad Kwan, Muang, Nonthaburi"
22T,13.908,100.536,Sukhothai Thammathirat Open University,"Bang Phut, Pak Kret, Nonthaburi"
14T,13.705,100.316,Highway District,"Om Noi, Krathum Baen, Samut Sakhon"
27T,13.55,100.265,Samut Sakhon Wittayalai School,"Maha Chai, Mueang, Samut Sakhon"
20T,14.037,100.605,Bangkok University Rangsit Campus,"Khlong Nueng, Khlong Luang, Pathum Thani"
81T,13.832,100.06,Water reservoir,"Mueang, Nakhon Pathom"
21T,14.352,100.565,Ayutthaya Witthayalai School,"Pratu Chai, Phra Nakhon Si Ayutthaya"
24T,14.686,100.872,Na Phralan Police Station,"Na Phra Lan, Chaloem Phra Kiat, Saraburi"
25T,14.526,100.926,Khao Noi Fire Station,"Pak Phriao, Mueang Saraburi, Saraburi"
26T,13.523,99.814,Environmental Office 8 ratchaburi,"Na Mueang, Mueang, Ratchaburi"
79T,14.022,99.536,Kanchanaburi Meteorological Station,"Ban Nuea, Mueang, Kanchanaburi"
84T,13.429,100.025,Samut Songkhram Health Office,"Mueang, Samut Songkhram"
85T,14.476,100.086,Suphan Buri Provincial Central Stadium,"Don Kamyan, Mueang, Suphun Buri"
99T,14.8,100.629,Meteorological Station Lopburi,"Talay Chupson Subdistrict, Mueang District, Lopburi"
103T,12.578,99.954,Hua Hin Weather Station Prachuap Khiri Khan Meteorological Station,"Hua Hin Subdistrict, Hua Hin District, Prachuap Khiri Khan"
46T,16.445,102.835,Hydrogeological Group Water Resources Regional Office4 khonkaen,"Nai Mueang, Mueang, Khon Kaen"
47T,14.98,102.098,Municipal Waste Water Pumping Station,"Nai Mueang, Mueang, Nakhon Ratchasima"
72T,17.485,101.733,"60th Anniversary Queen Sirikit Public Park, Loei","Kut Pong Subdistrict, Mueang District, Loei"
82T,17.877,102.729,"Nong Thin Public Park, Nong Khai","Meechai, Meuang, Nong Khai"
83T,15.245,104.846,"OTOP Center, Ubon Ratchathani","Mueang, Ubon Ratchathani"
88T,17.412,104.779,"Meteorological stations, Nakhon Phanom","Nai Mueang, Meuang, Nakhon Phanom"
90T,17.157,104.133,"Meteorological stations, Sakon Nakhon","That Naweng, Mueang, Sakon Nakhon"
91T,17.414,102.781,"Nong Prajak Public Park, Udon Thani","Mak Khaeng, Mueang, Udon Thani"
101T,14.945,103.106,Buriram City Hall,"Samed Subdistrict, Mueang District, Buriram"
102T,16.543,104.72,Mukdahan Provincial Stadium,"Mukdaman Subdistrict, Mueang District, Mukdahan"
28T,12.974,101.213,Pluakdaeng District Health Office,"Pluak Daeng, Pluak Daeng, Rayong"
29T,12.709,101.166,Health Promotion Hospital Maptaput,"Map Ta Phut, Meuang, Rayong"
30T,12.672,101.276,Agricultural Office,"Tha Pradu, Meuang, Rayong"
31T,12.735,101.136,"Field Crop Research Center, Rayong","Huai Pong, Meuang, Rayong"
74T,12.707,101.181,"Government Complex, Rayong","Nern Pra, Meuang, Rayong"
32T,13.119,100.919,Laem Chabang Municipal Stadium,"Thung Sukhla, Si Racha, Chon buri"
33T,13.055,101.098,Health Promotion Hospital Bankhaohin,"Bo Win, Si Racha, Chon buri"
34T,13.355,100.979,"Environment Agency Section 13, Chonburi","Ban Suan, Mueang, Chon Buri"
60T,13.589,101.286,Municipality Office Tungsadao,"Wang Yen, Plaeng Yao, Chachoengsao"
71T,13.691,102.51,Kanjanapisek Park,"Aranyaprathet, Aranyaprathet, Sa Kaeo"
77T,13.918,101.591,Bu Yai Bai Hall Station,"Tha Tum, SiMahaPhot, Prachin Buri"
87T,12.235,102.524,Trat Provincial Central Stadium,"Bang Phra, Mueang, Trat"
100T,12.61,102.104,Chanthaburi Meteorological Station,"Wat Mai Subdistrict, Mueang District, Chanthaburi"
35T,18.841,98.97,"City Hall, Chiangmai","Chang Phueak, Meuang, Chiang Mai"
36T,18.791,98.99,Yupparaj Wittayalai School,"Si Phum, Meuang, Chiang Mai"
37T,18.278,99.506,"Meteorological stations, Lampang","Phra Bat, Meuang, Lampang"
38T,18.251,99.764,"Health Promotion Hospital Sob Pad, Lampang","Sop Pat, Mae Mo, Lampang"
39T,18.427,99.758,Health Promotion Hospital Banthasri,"Ban Dong, Mae Mo, Lampang"
40T,18.283,99.66,Provincial Waterworks Authority Mae Moh,"Mae Mo, Mae Mo, Lampang"
41T,15.686,100.111,Nakhonsawan Irrigation Project,"Pak Nam Pho, Mueang, Nakhon Sawan"
57T,19.909,99.823,"Natural Resources and Environment Office, Chiangrai","Wiang, Meuang, Chiang Rai"
73T,20.427,99.884,Maesai Health Office,"Wiang Phang Kham, Mae Sai, Chiang Rai"
58T,19.305,97.972,"Natural Resources and Environment Office, Mae Hongson","Chong Kham, Meuang, Mae Hong Son"
67T,18.789,100.776,"Municipality Office, Nan","Nai Wiang, Mueang, Nan"
75T,19.576,101.082,Chalermprakiet Hospital,"Huai Kon, Chaloem Phra Kiat, Nan"
68T,18.567,99.039,"Meteorological Staions, Lamphun","Ban Klang, Mueang, Lamphun"
69T,18.128,100.162,"Meteorology Center, Phrae","Na Chak, Meuang, Phrae"
70T,19.2,99.893,"Phayao Provincial, Phayao","Bantom, Meuang, Phayao"
76T,16.734,98.567,"Non-Formal Education Centre, Mea Sot","MaePa, MaeSot, Tak"
86T,16.821,100.258,Chom Nan Chaloem Phrakiat Public Park,"Nai Mueang, Mueang, Phitsanulok"
92T,17.631,100.099,"72nd Anniversary King Bhumibol Public Park, Uttaradit","Tha It, Mueang, Uttaradit"
94T,16.475,99.525,Sirichit Thai Cultural Conservation Ground,"Nai Mueang Subdistrict, Mueang District, Kamphaeng Phet"
95T,16.443,100.323,"Phichit Provincial , Phichit","Nai Mueang Subdistrict, Mueang District, Phichit"
96T,17.006,99.819,Le Thai Community Park,"Tambon Thani, Amphoe Mueang, Sukhothai"
97T,16.418,101.157,Phetbura garden,"Nai Mueang Subdistrict, Mueang District, Phetchabun"
98T,15.374,100.038,Chaloem Phrakiat Park Station 80th birthday celebration,"Mueang, Uthai Thani"
42T,9.126,99.325,"Environment Agency Section 14, Surat Thani","Makham Tia, Mueang, Surat Thani"
43T,7.884,98.391,Municipal Health Center,"Talat Yai, Mueang, Phuket"
44T,7.02,100.484,Hat Yai Municipality,"Hat Yai, Songkhla"
62T,6.427,101.823,"City Hall, Narathiwat","Bang Nak, Mueang, Narathiwat"
63T,6.546,101.283,White Elephant Park,"Sateng, Mueang, Yala"
78T,5.764,101.068,"child development centers, Betong","Betong, Yala"
80T,6.625,100.066,"City Hall, Satun","Phiman, Mueang, Satun"
89T,8.427,99.961,Elderly Health Rehabilitation Center,"Khlang, Mueang, Nakhon Si Thammarat"
93T,7.57,99.589,"Polytechnic College, Trang","Na Ta Luang Subdistrict, Mueang District, Trang"